item_id,category_id,semantic_category,broad_categories
132621870,38,bags,accessories
162715806,36,bags,accessories
180028994,318,bags,accessories
198643069,36,bags,accessories
200139640,318,bags,accessories
208870650,259,bags,accessories
199376553,37,bags,accessories
210942072,37,bags,accessories
192511179,37,bags,accessories
173097736,318,bags,accessories
213007746,38,bags,accessories
209966118,318,bags,accessories
158857944,37,bags,accessories
133932837,37,bags,accessories
204211869,43,shoes,shoes
205039314,37,bags,accessories
209609138,318,bags,accessories
114654675,46,shoes,shoes
117267686,46,shoes,shoes
204925548,38,bags,accessories
148741825,318,bags,accessories
110743844,37,bags,accessories
170205623,38,bags,accessories
101993130,38,bags,accessories
191328899,40,bags,accessories
75817384,37,bags,accessories
203989758,37,bags,accessories
211016756,37,bags,accessories
198348970,38,bags,accessories
148428284,261,shoes,shoes
173531714,49,shoes,shoes
153347062,259,bags,accessories
191321013,39,bags,accessories
204165631,38,bags,accessories
70510470,43,shoes,shoes
204084161,37,bags,accessories
177838111,37,bags,accessories
81584170,38,bags,accessories
203423054,37,bags,accessories
200555275,46,shoes,shoes
212620947,37,bags,accessories
118522369,37,bags,accessories
158117230,37,bags,accessories
199977324,318,bags,accessories
188068758,259,bags,accessories
186847366,318,bags,accessories
162996731,46,shoes,shoes
140361461,36,bags,accessories
176960529,37,bags,accessories
179084082,36,bags,accessories
85274599,38,bags,accessories
83876128,318,bags,accessories
127507586,38,bags,accessories
130087763,259,bags,accessories
214043725,46,shoes,shoes
151873034,38,bags,accessories
202707952,37,bags,accessories
204033115,37,bags,accessories
169161754,36,bags,accessories
190653629,38,bags,accessories
165172828,38,bags,accessories
196218557,37,bags,accessories
189825634,318,bags,accessories
210275062,37,bags,accessories
204266870,37,bags,accessories
205772919,37,bags,accessories
169311065,259,bags,accessories
123167065,38,bags,accessories
196463164,259,bags,accessories
176299976,36,bags,accessories
203401813,62,jewellery,accessories
205612390,38,bags,accessories
209505432,37,bags,accessories
207568149,318,bags,accessories
151940120,37,bags,accessories
194704905,37,bags,accessories
205094381,318,bags,accessories
115781515,38,bags,accessories
187208329,49,shoes,shoes
198541290,40,bags,accessories
111908068,318,bags,accessories
50564297,318,bags,accessories
195075864,40,bags,accessories
132342276,37,bags,accessories
209708028,4495,tops,tops
100691295,259,bags,accessories
206536282,49,shoes,shoes
203117229,37,bags,accessories
204882158,37,bags,accessories
192208085,55,hats,hats
151424214,37,bags,accessories
210620293,318,bags,accessories
210349242,38,bags,accessories
164437190,37,bags,accessories
126410310,36,bags,accessories
206299484,46,shoes,shoes
203784047,37,bags,accessories
209501853,37,bags,accessories
135825130,37,bags,accessories
190303745,37,bags,accessories
210467440,37,bags,accessories
201491268,36,bags,accessories
134616408,35,bags,accessories
182294200,318,bags,accessories
193563641,4495,tops,tops
212210741,48,shoes,shoes
165494129,37,bags,accessories
207529271,38,bags,accessories
193633506,37,bags,accessories
172894036,36,bags,accessories
196923114,38,bags,accessories
209258875,37,bags,accessories
203564214,261,shoes,shoes
175957539,37,bags,accessories
161953860,49,shoes,shoes
127869403,318,bags,accessories
162819113,43,shoes,shoes
213330865,39,bags,accessories
201312801,38,bags,accessories
180814547,40,bags,accessories
177747645,268,shoes,shoes
201134629,36,bags,accessories
159292572,318,bags,accessories
142993391,38,bags,accessories
181906018,37,bags,accessories
189215404,318,bags,accessories
173572289,38,bags,accessories
206301854,318,bags,accessories
136444097,38,bags,accessories
150855984,37,bags,accessories
203712106,38,bags,accessories
178702949,318,bags,accessories
190288694,37,bags,accessories
200681878,36,bags,accessories
207259179,318,bags,accessories
146695977,38,bags,accessories
177867333,38,bags,accessories
197470467,38,bags,accessories
209717133,41,shoes,shoes
202314650,318,bags,accessories
139467851,48,shoes,shoes
214289443,38,bags,accessories
180496560,36,bags,accessories
201613654,37,bags,accessories
174101225,36,bags,accessories
205854519,318,bags,accessories
204433821,37,bags,accessories
111493263,36,bags,accessories
157389591,37,bags,accessories
203806228,36,bags,accessories
56996105,38,bags,accessories
192365434,37,bags,accessories
110415230,38,bags,accessories
141247736,259,bags,accessories
186793836,37,bags,accessories
203967773,37,bags,accessories
214251916,36,bags,accessories
108815549,37,bags,accessories
109083098,261,shoes,shoes
158101671,38,bags,accessories
154403414,37,bags,accessories
207958727,37,bags,accessories
191311776,38,bags,accessories
135972489,36,bags,accessories
213577114,38,bags,accessories
202732758,40,bags,accessories
120161019,49,shoes,shoes
208445626,38,bags,accessories
135648799,46,shoes,shoes
116785671,37,bags,accessories
174481971,38,bags,accessories
185202834,318,bags,accessories
194165890,318,bags,accessories
76811947,318,bags,accessories
168113804,36,bags,accessories
199817147,318,bags,accessories
203402196,318,bags,accessories
209178832,38,bags,accessories
143658749,37,bags,accessories
182249360,318,bags,accessories
67355451,38,bags,accessories
141502511,318,bags,accessories
204525970,49,shoes,shoes
190547596,318,bags,accessories
173125917,37,bags,accessories
201179317,38,bags,accessories
164698393,37,bags,accessories
190769763,259,bags,accessories
212086610,37,bags,accessories
193220666,38,bags,accessories
200700536,38,bags,accessories
194453670,37,bags,accessories
210836917,46,shoes,shoes
199723760,36,bags,accessories
160094724,38,bags,accessories
189825765,318,bags,accessories
178976917,36,bags,accessories
168775385,263,shoes,shoes
210583467,37,bags,accessories
200326763,38,bags,accessories
146962916,37,bags,accessories
138241186,38,bags,accessories
215248631,36,bags,accessories
196086927,47,shoes,shoes
194174878,40,bags,accessories
171604431,37,bags,accessories
159333154,38,bags,accessories
114811924,318,bags,accessories
209552406,36,bags,accessories
209587435,37,bags,accessories
177904480,38,bags,accessories
206275000,37,bags,accessories
194159997,37,bags,accessories
202206913,36,bags,accessories
205491074,37,bags,accessories
196427487,318,bags,accessories
201858088,37,bags,accessories
193335447,37,bags,accessories
211795913,50,shoes,shoes
165494935,318,bags,accessories
57872491,35,bags,accessories
132606216,37,bags,accessories
198204190,46,shoes,shoes
213678206,36,bags,accessories
214329063,49,shoes,shoes
167972220,259,bags,accessories
171108508,38,bags,accessories
191440222,38,bags,accessories
209945923,39,bags,accessories
102311044,36,bags,accessories
212380449,46,shoes,shoes
205097515,37,bags,accessories
109616522,38,bags,accessories
207767065,318,bags,accessories
147819790,46,shoes,shoes
164435541,259,bags,accessories
89720897,37,bags,accessories
204390915,38,bags,accessories
19671184,49,shoes,shoes
129455316,38,bags,accessories
209000043,37,bags,accessories
203678591,37,bags,accessories
173231712,37,bags,accessories
139239644,38,bags,accessories
213850673,37,bags,accessories
133238100,37,bags,accessories
125668173,64,jewellery,accessories
168675802,37,bags,accessories
167439456,36,bags,accessories
179084087,36,bags,accessories
191695202,38,bags,accessories
160143651,64,jewellery,accessories
178963338,37,bags,accessories
191686392,36,bags,accessories
163635306,318,bags,accessories
199124509,46,shoes,shoes
213695178,38,bags,accessories
194896028,37,bags,accessories
214751907,318,bags,accessories
209890665,318,bags,accessories
203900707,37,bags,accessories
176835113,259,bags,accessories
210508785,36,bags,accessories
193608318,37,bags,accessories
104635352,36,bags,accessories
170499215,318,bags,accessories
172199140,318,bags,accessories
113790430,42,shoes,shoes
177408162,49,shoes,shoes
204218236,38,bags,accessories
125201290,62,jewellery,accessories
192936177,318,bags,accessories
44557915,38,bags,accessories
173180866,38,bags,accessories
186590190,37,bags,accessories
199747931,36,bags,accessories
97050112,43,shoes,shoes
192457098,263,shoes,shoes
176500441,318,bags,accessories
201120528,37,bags,accessories
206343268,38,bags,accessories
193016280,259,bags,accessories
154361619,38,bags,accessories
197200578,37,bags,accessories
207830279,36,bags,accessories
209988175,48,shoes,shoes
187897009,35,bags,accessories
214680423,318,bags,accessories
179762708,38,bags,accessories
141668318,36,bags,accessories
203900040,40,bags,accessories
129711936,43,shoes,shoes
132867062,37,bags,accessories
208944822,49,shoes,shoes
190257064,36,bags,accessories
157072209,261,shoes,shoes
205428792,38,bags,accessories
191754852,36,bags,accessories
189071535,261,shoes,shoes
80710937,21,tops,tops
189699104,40,bags,accessories
172185474,318,bags,accessories
190980199,46,shoes,shoes
131363313,36,bags,accessories
178993628,37,bags,accessories
79700463,38,bags,accessories
129851497,318,bags,accessories
209296733,36,bags,accessories
201658751,318,bags,accessories
172132606,318,bags,accessories
32455935,46,shoes,shoes
208861516,261,shoes,shoes
140070943,259,bags,accessories
195438650,41,shoes,shoes
171057004,38,bags,accessories
154200084,318,bags,accessories
81303333,39,bags,accessories
180869206,37,bags,accessories
209241357,46,shoes,shoes
102682879,47,shoes,shoes
159846953,37,bags,accessories
69084688,38,bags,accessories
62481615,36,bags,accessories
188379904,62,jewellery,accessories
204387878,318,bags,accessories
116432314,36,bags,accessories
170594970,37,bags,accessories
161338930,36,bags,accessories
212708193,37,bags,accessories
78540845,38,bags,accessories
100794870,36,bags,accessories
210239935,49,shoes,shoes
195698956,37,bags,accessories
187931426,36,bags,accessories
197057270,36,bags,accessories
183773883,36,bags,accessories
206676404,259,bags,accessories
181796477,318,bags,accessories
209344761,36,bags,accessories
211398670,40,bags,accessories
212350669,259,bags,accessories
205863081,49,shoes,shoes
152569501,37,bags,accessories
193268783,37,bags,accessories
199297939,38,bags,accessories
191279351,37,bags,accessories
202731257,318,bags,accessories
211541913,36,bags,accessories
199520590,37,bags,accessories
205075920,318,bags,accessories
170918219,38,bags,accessories
181138989,259,bags,accessories
177735891,38,bags,accessories
207821764,36,bags,accessories
145602636,55,hats,hats
194553077,37,bags,accessories
195940392,257,tops,tops
184089057,38,bags,accessories
211462903,49,shoes,shoes
188138444,37,bags,accessories
213380678,37,bags,accessories
74509678,104,tops,tops
202847731,36,bags,accessories
167207935,37,bags,accessories
196154924,37,bags,accessories
211609697,318,bags,accessories
156465156,37,bags,accessories
176195491,259,bags,accessories
208778619,259,bags,accessories
202872212,36,bags,accessories
202330958,40,bags,accessories
202328626,37,bags,accessories
110619264,36,bags,accessories
211121760,37,bags,accessories
155380193,49,shoes,shoes
209063209,47,shoes,shoes
214037923,37,bags,accessories
61044212,261,shoes,shoes
149214646,37,bags,accessories
204716626,37,bags,accessories
97599599,318,bags,accessories
140719273,36,bags,accessories
207596918,36,bags,accessories
202204599,37,bags,accessories
200197096,37,bags,accessories
135029598,4461,bags,accessories
210793986,36,bags,accessories
205233170,37,bags,accessories
184070041,38,bags,accessories
183484544,46,shoes,shoes
140028655,37,bags,accessories
192323302,37,bags,accessories
143671381,38,bags,accessories
51204348,36,bags,accessories
51331228,318,bags,accessories
183839419,37,bags,accessories
172012630,318,bags,accessories
161332349,259,bags,accessories
193076604,261,shoes,shoes
211674236,36,bags,accessories
213206735,36,bags,accessories
169589040,39,bags,accessories
171494863,259,bags,accessories
214302406,46,shoes,shoes
195292057,37,bags,accessories
156875794,50,shoes,shoes
151312435,37,bags,accessories
137307693,37,bags,accessories
175906876,37,bags,accessories
104845925,36,bags,accessories
206758207,42,shoes,shoes
125505087,38,bags,accessories
176744457,318,bags,accessories
202565372,38,bags,accessories
99530857,36,bags,accessories
212903485,46,shoes,shoes
181889382,318,bags,accessories
210025913,318,bags,accessories
55122832,318,bags,accessories
129282364,37,bags,accessories
169230565,41,shoes,shoes
145358205,37,bags,accessories
193054363,38,bags,accessories
212176221,36,bags,accessories
126884236,36,bags,accessories
122398206,43,shoes,shoes
189223848,259,bags,accessories
194084964,37,bags,accessories
208349323,38,bags,accessories
177518793,36,bags,accessories
201408762,36,bags,accessories
156260279,37,bags,accessories
174370153,36,bags,accessories
181457760,318,bags,accessories
168060673,38,bags,accessories
191923501,259,bags,accessories
152299073,38,bags,accessories
171904606,40,bags,accessories
102999163,38,bags,accessories
178667655,38,bags,accessories
